file_id,transcript
clip_03622,i wonder what this is about
clip_01871,dont forget to jack it
clip_07796,dont forget a jacket
clip_06318,say the word cease
clip_08378,well stop in a couple of minutes
clip_06288,the airplane is almost full
clip_06128,say the word choice
clip_04087,say the word such
clip_03734,say the word hurl
clip_05743,its 11 oclock
clip_04341,say the word bot
clip_02538,i think i have a doctors appointment
clip_06493,i think ive seen this before
clip_03591,until 11 oclock
clip_01927,i think ive seen this before
clip_08016,its 11 oclock
clip_03423,the surface is slick
clip_00457,say the word walk
clip_04336,maybe tomorrow it will be cold
clip_01196,its 11 oclock
clip_09152,dont forget a jacket
clip_08240,say the word hash
clip_02137,say the word boat
clip_09331,im on my way to the meeting
clip_10860,its 11 oclock
clip_08442,dont forget to jack it
clip_05150,i think ive seen this before
clip_07363,i think ive seen this before
clip_09241,i think i have a doctors appointment
clip_03342,say the word back
clip_05937,say the word cell
clip_08161,say the word cheek
clip_08503,its 11 oclock
clip_00792,i wonder what this is about
clip_09385,say the word hush
clip_10136,say the word read
clip_09223,dogs are sitting by the door
clip_03494,i want my way to the meeting
clip_07225,i wonder what this is about
clip_02166,say the word cheek
clip_09040,kids are talking by the door
clip_07642,say the word tip
clip_07430,maybe tomorrow it will be cold
clip_05000,its a love of the quack
clip_09388,say the word choice
clip_09439,say the word hurl
clip_05089,kids are talking by the door
clip_06555,i think this team is before
clip_00018,i think ive seen this before
clip_01251,dont forget a jacket
clip_06534,well stop in a couple of minutes
clip_05547,i wonder what this is about
clip_00641,dogs are sitting by the door
clip_03657,the airplane is almost full
clip_09914,im on my way to the meeting
clip_09988,well stop in a couple of minutes
clip_09573,even tomorrow we will be cold
clip_08678,say the word weak
clip_05907,i would like a new alarm clock
clip_07056,maybe tomorrow will be cold
clip_06279,say the word merch
clip_04275,i wonder what this is about
clip_06724,id like a new long clock
clip_04976,im on my way to the meeting
clip_01914,say the word should
clip_06087,i wonder what this is about
clip_04568,its 11 oclock
clip_08924,its 11 oclock
clip_09571,dont forget to jack it
clip_05784,i think ive seen this before
clip_10669,i would like a new alarm clock
clip_04389,its 11 oclock
clip_06842,its 11 oclock
clip_00174,maybe tomorrow it will be cold
clip_08827,i think ive seen this before
clip_01422,say the word deb
clip_00278,the surface is slick
clip_08124,maybe tomorrow it will be cold
clip_02852,its 11 oclock
clip_03135,say the word king
clip_00039,say the word road
clip_00896,say the word tip
clip_08270,the surface is slick
clip_04807,say the word bar
clip_08893,the surface is slick
clip_01646,i would like a new alone clock
clip_06520,the surface is slick
clip_00021,well stop in a couple of minutes
clip_03046,dont forget to check it
clip_08171,say the word race
clip_02684,its 11 oclock
clip_06880,that is exactly what happened
clip_00290,say the word tape
clip_07009,well stop in a couple of minutes
clip_00153,well in a couple of minutes
clip_00958,im on my way to the meeting
clip_00666,say the word shawl
clip_09667,i would like a new alarm clock
clip_00046,i think ive seen this before
clip_09885,well stop it a couple of minutes
clip_04128,the surface is slick
clip_08922,kids are talking by the door
clip_00668,maybe tomorrow it will be cold
clip_03773,say the word burn
clip_10429,say the word wash
clip_08737,well stop in a couple of minutes
clip_09639,i wonder what this is about
clip_10667,i think i have a doctors appointment
clip_09046,i think i have a doctors appointment
clip_05914,say the word hate
clip_10880,that is exactly what happened
clip_06460,i would like a new alarm clock
clip_05602,maybe tomorrow it will be cold
clip_09886,i think ive seen this before
