file_id,pseudo_speaker,cluster_size,corpus_guess
clip_00000,spk_028,472,CREMA-D
clip_00002,spk_002,173,CREMA-D
clip_00003,spk_018,1197,TESS
clip_00004,spk_025,1495,TESS
clip_00005,spk_025,1495,TESS
clip_00007,spk_028,472,CREMA-D
clip_00008,spk_026,1537,TESS
clip_00009,spk_025,1495,TESS
clip_00010,spk_094,457,CREMA-D
clip_00011,spk_094,457,CREMA-D
clip_00013,spk_018,1197,TESS
clip_00014,spk_025,1495,TESS
clip_00015,spk_025,1495,TESS
clip_00016,spk_018,1197,TESS
clip_00017,spk_018,1197,TESS
clip_00018,spk_015,388,CREMA-D
clip_00019,spk_094,457,CREMA-D
clip_00020,spk_078,101,CREMA-D
clip_00021,spk_060,214,CREMA-D
clip_00022,spk_025,1495,TESS
clip_00023,spk_026,1537,TESS
clip_00024,spk_029,272,CREMA-D
clip_00027,spk_015,388,CREMA-D
clip_00028,spk_011,96,CREMA-D
clip_00029,spk_018,1197,TESS
clip_00030,spk_071,8,RAVDESS
clip_00031,spk_026,1537,TESS
clip_00032,spk_015,388,CREMA-D
clip_00033,spk_025,1495,TESS
clip_00034,spk_028,472,CREMA-D
clip_00035,spk_078,101,CREMA-D
clip_00036,spk_029,272,CREMA-D
clip_00038,spk_025,1495,TESS
clip_00039,spk_018,1197,TESS
clip_00041,spk_025,1495,TESS
clip_00042,spk_094,457,CREMA-D
clip_00043,spk_009,53,RAVDESS
clip_00044,spk_026,1537,TESS
clip_00045,spk_026,1537,TESS
clip_00046,spk_078,101,CREMA-D
clip_00047,spk_004,29,RAVDESS
clip_00048,spk_025,1495,TESS
clip_00049,spk_085,49,RAVDESS
clip_00050,spk_055,125,CREMA-D
clip_00051,spk_025,1495,TESS
clip_00052,spk_087,1,RAVDESS
clip_00053,spk_075,20,RAVDESS
clip_00055,spk_002,173,CREMA-D
clip_00056,spk_094,457,CREMA-D
clip_00057,spk_038,198,CREMA-D
clip_00058,spk_018,1197,TESS
clip_00059,spk_018,1197,TESS
clip_00060,spk_025,1495,TESS
clip_00061,spk_026,1537,TESS
clip_00062,spk_025,1495,TESS
clip_00063,spk_001,218,CREMA-D
clip_00064,spk_018,1197,TESS
clip_00067,spk_025,1495,TESS
clip_00068,spk_025,1495,TESS
clip_00069,spk_002,173,CREMA-D
clip_00070,spk_025,1495,TESS
clip_00071,spk_043,256,CREMA-D
clip_00072,spk_025,1495,TESS
