file_id,split,transcript,corpus,match_ratio,template
clip_05923,train,say the word choice,TESS,1.0,say the word
clip_08140,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_05930,train,say the word well,TESS,1.0,say the word
clip_02000,train,say the word shirt,TESS,1.0,say the word
clip_01726,train,say the word get,TESS,1.0,say the word
clip_10190,train,say the word bye,TESS,1.0,say the word
clip_08546,train,say the word death,TESS,1.0,say the word
clip_07399,train,say the word time,TESS,1.0,say the word
clip_00019,train,say the word boat,TESS,1.0,say the word
clip_03131,train,say the word both,TESS,1.0,say the word
clip_03824,train,say the word chalk,TESS,1.0,say the word
clip_09384,train,11 oclock,CREMA-D,0.8182,its 11 oclock
clip_10414,train,im on my way to the meeting,CREMA-D,1.0,im on my way to the meeting
clip_10382,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01648,train,say the word tip,TESS,1.0,say the word
clip_04547,train,say the word hit,TESS,1.0,say the word
clip_08784,train,say the word fall,TESS,1.0,say the word
clip_06629,train,say the word wheat,TESS,1.0,say the word
clip_02256,train,dont forget to check it,CREMA-D,0.7442,dont forget a jacket
clip_03147,train,well stop in a couple of minutes,CREMA-D,1.0,well stop in a couple of minutes
clip_00316,train,dont give a jacket,CREMA-D,0.8421,dont forget a jacket
clip_03548,train,say the word rot,TESS,1.0,say the word
clip_02896,train,say the word sub,TESS,1.0,say the word
clip_03057,train,say the word pool,TESS,1.0,say the word
clip_03804,train,say the word third,TESS,1.0,say the word
clip_03278,train,say the word hurl,TESS,1.0,say the word
clip_02562,train,say the word bone,TESS,1.0,say the word
clip_07610,train,say the word mood,TESS,1.0,say the word
clip_06922,train,say the word mop,TESS,1.0,say the word
clip_08885,train,say the word hall,TESS,1.0,say the word
clip_01181,train,say the word hurl,TESS,1.0,say the word
clip_09097,train,say the word youre in,TESS,1.0,say the word
clip_01788,train,say the word being,TESS,1.0,say the word
clip_01051,train,say the word chalk,TESS,1.0,say the word
clip_00003,train,say the word dip,TESS,1.0,say the word
clip_06535,train,say the word shout,TESS,1.0,say the word
clip_04507,train,say the word home,TESS,1.0,say the word
clip_03630,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06301,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_08652,train,say the word bot,TESS,1.0,say the word
clip_06452,train,say the word near,TESS,1.0,say the word
clip_04552,train,say the word lid,TESS,1.0,say the word
clip_09173,train,say the word cell,TESS,1.0,say the word
clip_00738,train,say the word pool,TESS,1.0,say the word
clip_06402,train,say the word judge,TESS,1.0,say the word
clip_10786,train,say the word chain,TESS,1.0,say the word
clip_03866,train,say the word met,TESS,1.0,say the word
clip_00245,train,say the word which,TESS,1.0,say the word
clip_03421,train,say the word kick,TESS,1.0,say the word
clip_04060,train,say the word note,TESS,1.0,say the word
clip_07833,train,say the word fall,TESS,1.0,say the word
clip_01902,train,say the word sure,TESS,1.0,say the word
clip_10336,train,say the word limb,TESS,1.0,say the word
clip_07987,train,say the word bite,TESS,1.0,say the word
clip_08963,train,say the word dip,TESS,1.0,say the word
clip_02539,train,say the word door,TESS,1.0,say the word
clip_06884,train,say the word but,TESS,1.0,say the word
clip_01933,test,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_08404,train,say the word king,TESS,1.0,say the word
clip_00109,train,say the word mop,TESS,1.0,say the word
clip_01879,train,say the word home,TESS,1.0,say the word
clip_05807,train,say the word chill,TESS,1.0,say the word
clip_07652,train,say the word whole,TESS,1.0,say the word
clip_06570,train,say the word lose,TESS,1.0,say the word
clip_05802,train,say the word chat,TESS,1.0,say the word
clip_08071,train,say the word book,TESS,1.0,say the word
clip_10775,train,say the word check,TESS,1.0,say the word
clip_00946,train,say the word burn,TESS,1.0,say the word
clip_07768,train,say the word red,TESS,1.0,say the word
clip_09676,train,say the word death,TESS,1.0,say the word
clip_03755,train,say the word date,TESS,1.0,say the word
clip_09135,train,say the word cab,TESS,1.0,say the word
clip_10054,train,say the word calm,TESS,1.0,say the word
clip_07974,train,say the word take,TESS,1.0,say the word
clip_01583,train,say the word nag,TESS,1.0,say the word
clip_00841,train,say the word kite,TESS,1.0,say the word
clip_06750,train,say the word thumb,TESS,1.0,say the word
clip_06331,train,say the word limb,TESS,1.0,say the word
clip_04168,train,say the word tough,TESS,1.0,say the word
clip_01461,train,say the word said,TESS,1.0,say the word
clip_10888,train,dont forget to jack it,CREMA-D,0.8571,dont forget a jacket
clip_08468,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_02870,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_09103,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_01691,train,the airplane is almost full,CREMA-D,1.0,the airplane is almost full
clip_02358,train,say the words such,TESS,1.0,say the word
clip_10733,train,say the word lot,TESS,1.0,say the word
clip_03029,train,say the word jail,TESS,1.0,say the word
clip_04216,train,say the word note,TESS,1.0,say the word
clip_03979,train,say the word mode,TESS,1.0,say the word
clip_02728,train,say the word white,TESS,1.0,say the word
clip_07198,train,say the word fat,TESS,1.0,say the word
clip_03498,train,say the word ghosts,TESS,1.0,say the word
clip_02825,train,say the word dog,TESS,1.0,say the word
clip_10142,train,say the word good,TESS,1.0,say the word
clip_09538,train,say the word puff,TESS,1.0,say the word
clip_08282,train,say the word germ,TESS,1.0,say the word
clip_06237,train,say the word dead,TESS,1.0,say the word
clip_06070,train,say the word met,TESS,1.0,say the word
clip_07192,train,say the word hate,TESS,1.0,say the word
clip_08988,train,say the word cool,TESS,1.0,say the word
clip_10426,train,see the word gap,UNKNOWN,0.4091,kids are talking by the door
clip_06587,train,say the word lean,TESS,1.0,say the word
clip_02048,train,say the words should,TESS,1.0,say the word
clip_01233,train,say the word being,TESS,1.0,say the word
clip_05038,train,say the word fine,TESS,1.0,say the word
clip_00191,train,say the word shaq,TESS,1.0,say the word
clip_09694,train,say the word calm,TESS,1.0,say the word
clip_06684,train,say the word king,TESS,1.0,say the word
clip_02968,train,say the word kite,TESS,1.0,say the word
clip_07735,train,say the word have,TESS,1.0,say the word
clip_02005,train,say the word love,TESS,1.0,say the word
clip_09042,train,say the word good,TESS,1.0,say the word
clip_01950,train,say the word purl,TESS,1.0,say the word
clip_07041,train,say the word long,TESS,1.0,say the word
clip_00227,train,say the word dab,TESS,1.0,say the word
clip_08610,train,say the word hate,TESS,1.0,say the word
clip_02608,train,say the word ton,TESS,1.0,say the word
clip_05426,train,say the word nil,TESS,1.0,say the word
clip_09353,train,say the word door,TESS,1.0,say the word
clip_02133,train,say the word neat,TESS,1.0,say the word
clip_09981,train,say the word kill,TESS,1.0,say the word
clip_05798,train,say the word turn,TESS,1.0,say the word
clip_00052,train,the surface is slick,CREMA-D,1.0,the surface is slick
clip_09742,train,dont forget to jack it,CREMA-D,0.8571,dont forget a jacket
clip_00671,train,this is 11 oclock,CREMA-D,0.8,its 11 oclock
clip_06784,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_03583,train,i think ive seen this before,CREMA-D,1.0,i think ive seen this before
clip_10265,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_03591,train,until 11 oclock,CREMA-D,0.7857,its 11 oclock
clip_08927,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06036,train,say the word dead,TESS,1.0,say the word
clip_03034,train,say the word hall,TESS,1.0,say the word
clip_07098,train,say the word pan,TESS,1.0,say the word
clip_10553,train,say the word rain,TESS,1.0,say the word
clip_08258,train,say the word page,TESS,1.0,say the word
clip_04952,train,say the word kill,TESS,1.0,say the word
clip_09015,train,say the word moon,TESS,1.0,say the word
clip_00256,train,say the word thought,TESS,1.0,say the word
clip_10318,train,say the word higher,TESS,1.0,say the word
clip_03652,train,say the word met,TESS,1.0,say the word
clip_03247,train,say the word tool,TESS,1.0,say the word
clip_06956,train,say the word far,TESS,1.0,say the word
clip_03191,train,say the word whip,TESS,1.0,say the word
clip_10872,train,say the word peg,TESS,1.0,say the word
clip_01989,train,say the word food,TESS,1.0,say the word
clip_09435,train,say the word which,TESS,1.0,say the word
clip_08530,train,say the word lod,TESS,1.0,say the word
clip_01623,train,say the word time,TESS,1.0,say the word
clip_10794,train,say the word bolt,TESS,1.0,say the word
clip_07126,train,say the word join,TESS,1.0,say the word
clip_08958,train,say the word learn,TESS,1.0,say the word
clip_03052,train,say the word char,TESS,1.0,say the word
clip_05087,train,say the word pool,TESS,1.0,say the word
clip_08849,train,say the word south,TESS,1.0,say the word
clip_05965,train,say the word bite,TESS,1.0,say the word
clip_06613,train,say the word goal,TESS,1.0,say the word
clip_03042,train,say the word near,TESS,1.0,say the word
clip_10560,train,say the word talk,TESS,1.0,say the word
clip_01514,train,say the word mill,TESS,1.0,say the word
clip_06792,train,say the word choice,TESS,1.0,say the word
clip_04405,train,say the word read,TESS,1.0,say the word
clip_07827,train,say the word shawl,TESS,1.0,say the word
clip_01769,train,say the word pass,TESS,1.0,say the word
clip_00941,train,say the word ring,TESS,1.0,say the word
clip_09543,train,say the word lord,TESS,1.0,say the word
clip_03407,train,say the word book,TESS,1.0,say the word
clip_09839,train,say the word mob,TESS,1.0,say the word
clip_01443,train,say the word goose,TESS,1.0,say the word
clip_06596,train,say the word wife,TESS,1.0,say the word
clip_02255,train,say the word name,TESS,1.0,say the word
clip_07208,train,say the word jab,TESS,1.0,say the word
clip_03680,train,say the word wheat,TESS,1.0,say the word
clip_02288,train,say the word food,TESS,1.0,say the word
clip_09578,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_06855,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_03289,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10203,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07252,train,dont forget to jack it,CREMA-D,0.8571,dont forget a jacket
clip_03711,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_00098,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07222,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07808,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10797,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_10412,train,its 11 oclock,CREMA-D,1.0,its 11 oclock
clip_07567,train,say the word milk,TESS,1.0,say the word
clip_10219,train,say the word rat,TESS,1.0,say the word
clip_02953,train,say the word young,TESS,1.0,say the word
clip_09235,train,say the word moon,TESS,1.0,say the word
clip_10388,train,say the word keen,TESS,1.0,say the word
clip_06813,train,say the word knock,TESS,1.0,say the word
clip_07853,train,say the word back,TESS,1.0,say the word
clip_00101,train,say the word door,TESS,1.0,say the word
clip_05699,train,say the word tape,TESS,1.0,say the word
clip_01067,train,say the word room,TESS,1.0,say the word
clip_09031,train,say the word sure,TESS,1.0,say the word
clip_03311,train,say the word love,TESS,1.0,say the word
clip_03813,train,say the word wash,TESS,1.0,say the word
clip_08594,train,say the word moon,TESS,1.0,say the word
clip_06525,train,say the word pick,TESS,1.0,say the word
clip_03847,train,say the word gun,TESS,1.0,say the word
clip_09085,train,say the word base,TESS,1.0,say the word
clip_05183,train,say the word puff,TESS,1.0,say the word
clip_09787,train,say the word name,TESS,1.0,say the word
clip_09385,train,say the word hush,TESS,1.0,say the word
clip_00420,train,say the word sheep,TESS,1.0,say the word
clip_06591,train,say the word void,TESS,1.0,say the word
clip_04219,train,say the word mouse,TESS,1.0,say the word
clip_00754,train,say the word lot,TESS,1.0,say the word
clip_03488,train,say the word beg,TESS,1.0,say the word
clip_01055,train,say the word pain,TESS,1.0,say the word
clip_06968,train,say the word ditch,TESS,1.0,say the word
clip_05895,train,say the word hush,TESS,1.0,say the word
clip_09861,train,say the word yes,TESS,1.0,say the word
clip_09773,train,say the word vote,TESS,1.0,say the word
clip_05855,train,say the word tyre,TESS,1.0,say the word
clip_10145,train,say the word pad,TESS,1.0,say the word
clip_07196,train,say the word purl,TESS,1.0,say the word
clip_00075,train,say the word jug,TESS,1.0,say the word
clip_04613,train,say the word fail,TESS,1.0,say the word
clip_06571,train,say the word keep,TESS,1.0,say the word
clip_07251,train,say the word fail,TESS,1.0,say the word
clip_07601,train,say the word ripe,TESS,1.0,say the word
clip_08744,train,say the word pig,TESS,1.0,say the word
clip_08987,train,say the word sail,TESS,1.0,say the word
clip_08914,train,say the word gas,TESS,1.0,say the word
clip_07316,train,say the word young,TESS,1.0,say the word
clip_00345,train,say the word sure,TESS,1.0,say the word
clip_01017,train,say the word jar,TESS,1.0,say the word
clip_04599,train,say the word phone,TESS,1.0,say the word
clip_08137,train,say the word raid,TESS,1.0,say the word
clip_02667,train,say the word make,TESS,1.0,say the word
clip_01711,train,say the word weak,TESS,1.0,say the word
clip_06565,train,say the word pike,TESS,1.0,say the word
clip_08118,train,say the word home,TESS,1.0,say the word
clip_07993,train,say the word numb,TESS,1.0,say the word
clip_06848,train,say the word haze,TESS,1.0,say the word
clip_01956,train,say the word love,TESS,1.0,say the word
clip_00133,train,say the word jint,TESS,1.0,say the word
clip_10555,train,say the word cell,TESS,1.0,say the word
clip_02603,train,say the word fat,TESS,1.0,say the word
clip_03006,train,say the word mode,TESS,1.0,say the word
clip_03399,train,say the word mood,TESS,1.0,say the word
clip_06675,train,say the word thin,TESS,1.0,say the word
clip_04816,train,say the words sour,TESS,1.0,say the word
clip_07938,train,say the word dab,TESS,1.0,say the word
clip_04085,train,say the word rage,TESS,1.0,say the word
clip_07260,train,i think ive seen this before,CREMA-D,1.0,i think ive seen this before
clip_04165,train,is 11 oclock,CREMA-D,0.96,its 11 oclock
