id,text,dialect
0,هيدي شكله تمثليه يا,1
1,علي لا بس في حكي بيني و بينها الله يرضى عليكي,0
2,انو بيجي يوم و منبطل عونيي,1
3,ام اسلام لو حكالنا قبل بفتره كنا نحنا حجزنالك مكان محترم مو بالشوارع متل المقطوعين,0
4,فلفل اسود وكزبره مطحونه وهيل مطحون,2
5,مين انتي وشلون عم تحكيني هيك,0
6,حكولي يانسون شربتو زاد الحزاز,2
7,هيدا ارز ومش حيالله ارز هيدا ارز الرب,1
8,لك لا ليش لجن,0
9,من جماعه الحفر بالزميل و برنيطه الفلين انو يستشار بي شي والاخص بقانون الانتخاب,1
10,الظاهر حماتها بتحب تقدر مرت اخوها بالزياده هي الموضوع مش اكتر,2
11,اتطلعو الكل فيني وهن مستغربين,0
12,والله الواحد بطل فاهم مين الحق على مين حسبنا الله ونعم الوكييل,2
13,مع انها بتكون هيه اللي بتبعت,3
14,وبالنسبالي الفطام افضل شي عالسنتين تقريبا لحاله بينفطم البيبي بهالعمر,2
15,ابو بخونها اني بحب عيونها اكتر من شعرها او بموت بصوتها اكثر من قلبها,3
16,وانتي ساكته لحد ما صارو قطع ومصاري والله قصصكم لزيزه يا بنات هه,2
17,لفيت وجهي اشرد فجأه طلعولي خواتها و صحباتها من باقي الغرف,3
18,بتتنرفز بسرعه و بتتحملش اشي لدرجه ازا امك قالتلك يلا قوم كل مرتين متتاليات و هي طابخه فاصوليا بترفع عليها موس او ازا دخلت بنقاش مع اخوك المفلسف او صاحبك عندك استعداد تنهي النقاش عن طريق امساك جمجمته و دفعها للأسفل ثم قذفها بواسطه ركبتك و فلق الجبهه لفلقتين,3
19,والله فكره رح احكي معا ممكن شوفها لان عم يديئ خلئي,0
20,المدير حلو الشرطى رح تعرف انا من الأول قلت ما في داعي للحكي,0
21,رحت قال انا عملت حالي حدقه و ما رح اتركلو مجال,3
22,بما انو بدو يبلش رمضان الشهر الفضيل قررت اترك حبيبي,3
23,مره حكالي شيخ انه حدا بحسدني واني دايما ارقي نفسي وما امن لحدا هيك تفسير هالحلم لان بضل احلمه,2
24,هيا لك ليش خايفه ردي عليها امسحي فيا الأرض يا عيب الشوم بس,0
25,مسك ايدها وباسها بحب شكرا الك,0
26,يلا بقوللك بدي اتفضل,3
27,وانك خايفه علييه وع مرتو,2
28,نسبي ه او ستين بتمديد او فراغ,1
29,بتنكش بوستاتو القديمه و صورو و بتسألو عن كل اشي في ريحه بنت,3
30,اسبوع زمن وارجعي طمنيني عنك,2
31,المهم حكتلي كلمه من خمس حروف و كتير شدت عليها اثقللي اثقلي تا يقول بس هاي الي بدي ياها,3
32,ترك اخوه وهو عم معصب كتير وجانن وانتي رفيقتا خانوم,0
33,هاد يا سيدي ليله مبارح بعد الفطور بليل اخوي الكبير جاب صحابو عنا عاملين سهره يعني و ارجيله و قعده صباحيه و بتعرفو اجواء الشباب الي كل البنات بحبو هاي الأجواء و نفسهم يصيرو ذكور لأجلها,3
34,و راح و تركها,0
35,مش بس السياسيين الفاسدين عم يلعبوا بمقدرات وطن وشعب ومش مهتمين الا لمناصبهم و كراسيهم,1
36,حبيت انصحكم و تتعلمو مني مش اكتر,3
37,في ناس خلقوا بس ليعكروا المزاج,1
38,صحيح كلامك جربناها بطلنا نشوفهم خالص,2
39,او قال تنزل صوره الي وتكتب عليها فصعوني حبيبي,3
40,سلها تؤكد كل اقوالي وبما ستحكم,0
41,يعني خففوا مقالي وكبه نيه وعرق وركزوا عالسلطه والبطاطا المشوي ه بلا خبز,1
42,مع هيك ضليتني زي منا و ضليت ماشيه بسرعه مشان ما اتنكس,3
43,حط ايدو على راسها و قلها انتي كنه بينرفع الراس فيكي بدي تديري بالك على,0
44,عادل ينعاد عليك و ع الجميع,1
45,اوك يلا بستنى هيني دقوم امشط شعري هع,2
46,خصوصي انو الكل ساكت و صافن فينا,3
47,بالشتا بحط معو مرطب شمس الحق الحق لأنو البشره بتكون جافه وبتقشف نقطه قد حبه العدس بتكفي كل الوجه,2
48,صرت كل يوم اكب الزباله كول يوم,3
49,الي بيفكرونا عشان بنعلق انو عنها م حبتك علاقتنا مع حماتنا مش منيحه لا طبعا بس بنعمل وبنلاقي احترام ومعامله منيحه والاحترام والمحبه متبادله الحمدلله مش ايش م نعمل بتضل مكشره بوجهنا زي صاحبت المشكله ليش تلاحقها ازا بتحكي مش مقصره وبتضل مكشره,2
50,انا بدي تمارين رياضيه مشان الدهون و خصوصا بطني و خواصري بس مشكلتي انه انا عندي اعاقه حركيه,3
51,واللهي هه انا اعتقد اولا انه التوفيق من رب العالمين ما الو دخل بحب او تقليدي و بعدين من اللي بشوفوا البنات او الشباب الازم يردوا على اهاليهم ازا حكولهم انه هاد الشخص مناسب اولا وثالثا الواحد يفكر باولاده ويسال حاله هل برضى يكون او تكون هاد الشخص او الشخصه ام او اب لاولادي ولا لاء,3
52,عم يتلذ وهو شايفني عم موت ودوب قدام عيونو حاولت بهدوء ابعت رساله لأمي مشان تخبر الشرطى وكتبتلها الي بقدر عليه,0
53,هه مهو في حموات ما بحبو الكويس,2
54,انو عمو جنبلاط رح يضل يدور و يدوخنا معو اربت تنحل,1
55,هدا الدوا احسن دوا رشي منو في كل مكان بعيد عن الاطفال ان شاء الله ماحتشوفي ولا صرصور,2
56,وياربا بس تتفاجاي انه نص الجوب مواليد و205 ماراح تفكري كتير كلهم اطفال,2
57,خلص قررت ابيع الدبله والمحبس,2
58,كانت عم تتأمل المي و تفكر,0
59,ماعاد فينا نندم ولاعاد ينفع قول ياريت انت معدت تخصني بعد هالسنين معدت تخصني ابدا,0
60,الله لا يقيمه اصلا اقل واجب تستخدم معاه عصايه المكنسه,2
61,حطت العصير بالصينيه وحكيتني وهي طالعه بعتزر منك بس صعب,0
62,اجا الشب قرب و حكالها ممكن دقيقه,3
63,لأنو عندي كم موضوع مجمدين بدن حلحله وما حدا بحلن غيرو,1
64,بس انتبه عطول في ابدايت للحكي,1
65,فقره صاريت كتير صغيره لما ترجعو طولو فقره بصير,1
66,بصراحه اكثر ارجعت اكثر جراه وكاني اعتدت على امر الصور والفساتين القصيره ولان كان كل مره يثبتلي انو هو بدو يتزوجني تركت حالي لكل شي وعيوني مغمضين ليوم اهلو طلعو من البيت وطلب مني اجي اشوف غرفه النوم يلي راح نتزوج فيها,0
67,يسلمو والله عزبتكن معي مابعرف شو اقول,0
